string_protein_id	preferred_name	protein_size	annotation
6183.Smp_140600.1	Smp_140600	785	Jagged 
6183.Smp_140610.1	Smp_140610	465	Acid phosphatase-related 
6183.Smp_140620.1	Smp_140620	186	Putative g-protein coupled receptor 
6183.Smp_140630.1	Smp_140630	161	Uncharacterized protein
6183.Smp_140640.1	Smp_113170	577	Uncharacterized protein
6183.Smp_140650.1	Smp_140650	268	Uncharacterized protein
6183.Smp_140660.1	Smp_140660	723	Uncharacterized protein
6183.Smp_140670.1	Smp_140670	349	Uncharacterized protein
6183.Smp_140680.1	Smp_140680.1	134	Endothelial differentiation-related factor 1 
6183.Smp_140690.1	Smp_140690	1155	Putative dna-directed RNA polymerase I subunit ; Belongs to the RNA polymerase beta chain family
6183.Smp_140700.1	Smp_140700	577	Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. MAP kinase subfamily
6183.Smp_140710.1	Smp_140710	163	Uncharacterized protein
6183.Smp_140720.1	Smp_140720	226	Uncharacterized protein
6183.Smp_140730.1	Smp_140730	549	Neural gene activation protein 
6183.Smp_140740.1	Smp_140740	236	Uncharacterized protein
6183.Smp_140760.1	Smp_140760	731	Uncharacterized protein
6183.Smp_140770.1	Smp_140770	628	Serine/threonine-protein phosphatase 
6183.Smp_140780.1	Smp_140780	233	Uncharacterized protein
6183.Smp_140790.1	Smp_140790	417	Ferrochelatase; Catalyzes the ferrous insertion into protoporphyrin IX
6183.Smp_140800.1	Smp_140800	2001	Notch 
6183.Smp_140810.1	Smp_140810	193	Pyroglutamyl-peptidase I (C15 family) 
6183.Smp_140820.1	Smp_140820	603	Putative sp8 
6183.Smp_140830.1	Smp_140830	631	Uncharacterized protein
6183.Smp_140840.1	Smp_140840	295	Kinase; Putative inositol triphosphate 3-kinase C ; Belongs to the inositol phosphokinase (IPK) family
6183.Smp_140850.1	Smp_140850	251	Innexin; Structural component of the gap junctions
6183.Smp_140860.1	Smp_140860	161	Innexin; Structural component of the gap junctions
6183.Smp_140880.1	Smp_140880	382	Kruppel-like factor 
6183.Smp_140890.1	Smp_140890	2097	Splicing factor Prp8 , putative 
6183.Smp_140900.2	Smp_140900.2	224	Uncharacterized protein
6183.Smp_140910.1	Smp_140910	138	Uncharacterized protein
6183.Smp_140920.1	Smp_140920	906	Putative glutamate receptor, kainate ; Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family
6183.Smp_140930.1	Smp_140930	117	Uncharacterized protein
6183.Smp_140940.1	Smp_140940	1372	Uncharacterized protein
6183.Smp_140950.1	Smp_140950	450	Transcription factor mrg-related 
6183.Smp_140960.1	Smp_140960.1	75	One cut domain family member,putative 
6183.Smp_140980.1	Smp_140980	270	Ectopic virus integration site, putative 
6183.Smp_140990.1	Smp_140990	1030	Uncharacterized protein
6183.Smp_141000.1	Smp_141000	376	Interleukin enhancer binding factor, putative 
6183.Smp_141010.1	Smp_141010	1920	Fer-1-related 
6183.Smp_141020.1	Smp_141020	231	Uncharacterized protein
6183.Smp_141030.1	Smp_141030	182	Uncharacterized protein
6183.Smp_141040.1	Smp_141040	812	Putative striatin 
6183.Smp_141070.1	Smp_141060	1519	Uncharacterized protein
6183.Smp_141080.1	Smp_141080	368	Putative DNAj (Hsp40) homolog, subfamily B, member 
6183.Smp_141100.1	Smp_191900	760	Putative xenotropic and polytropic murine leukemia virus receptor xpr1 
6183.Smp_141110.1	Smp_141110	245	Putative xenotropic and polytropic murine leukemia virus receptor xpr1 
6183.Smp_141120.1	Smp_141120	1358	Uncharacterized protein
6183.Smp_141130.1	Smp_141130	75	Uncharacterized protein
6183.Smp_141140.1	Smp_141140	346	Putative tfiid subunit 
6183.Smp_141150.1	Smp_141150	732	Putative phospholipase DDHD1 
6183.Smp_141160.1	Smp_141160	218	Uncharacterized protein
6183.Smp_141170.1	Smp_141170	84	Uncharacterized protein
6183.Smp_141180.1	Smp_141180	357	Uncharacterized protein
6183.Smp_141190.1	Smp_141190	129	Uncharacterized protein
6183.Smp_141220.1	Smp_141220	652	Putative component of oligomeric golgi complex 
6183.Smp_141230.1	Smp_141230	746	Serine/threonine kinase 
6183.Smp_141240.1	Smp_141240	692	Putative rna binding motif protein 
6183.Smp_141250.1	Smp_141250	802	Delta-like protein; Putative Notch ligand involved in the mediation of Notch signaling
6183.Smp_141260.1	Smp_141260	118	Uncharacterized protein
6183.Smp_141270.1	Smp_141270	707	Subfamily C14A unassigned peptidase (C14 family) ; Belongs to the peptidase C14A family
6183.Smp_141280.1	Smp_141280	377	Putative calpain 4, 6, 7, invertebrate 
6183.Smp_141290.2	inx	559	Innexin; Structural component of the gap junctions
6183.Smp_141310.1	Smp_141310	1396	Putative neurexin 
6183.Smp_141320.1	Smp_141320	419	Putative jnk/sapk-associated protein 
6183.Smp_141330.1	Smp_101640	335	Uncharacterized protein
6183.Smp_141340.1	Smp_141340	92	Uncharacterized protein
6183.Smp_141350.1	Smp_141350	932	Putative ras suppressor protein 1, rsu1 
6183.Smp_141360.1	Smp_141360	1186	Pyruvate carboxylase; Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second
6183.Smp_141380.1	Smp_141380	621	Protein kinase 
6183.Smp_141390.1	Smp_141390	428	Innexin; Structural component of the gap junctions
6183.Smp_141410.1	Smp_141410	1522	Putative cell adhesion molecule 
6183.Smp_141420.1	Smp_141420	78	Uncharacterized protein
6183.Smp_141430.1	Smp_141430	332	Uncharacterized protein
6183.Smp_141440.1	Smp_141440	540	Protein kinase 
6183.Smp_141450.1	Smp_141450	191	Subfamily S1A unassigned peptidase (S01 family) ; Belongs to the peptidase S1 family
6183.Smp_141460.1	Smp_141460	291	Uncharacterized protein
6183.Smp_141470.1	Smp_141470	289	Putative cytochrome C oxidase assembly protein cox11 
6183.Smp_141480.1	Smp_141480	155	Uncharacterized protein
6183.Smp_141490.1	Smp_141490	204	Putative ring finger protein 151 
6183.Smp_141500.2	Smp_141500.2	121	Hypothetical Schistosoma spp. protein UPF0506 
6183.Smp_141510.1	Smp_141510	1069	Family S9 non-peptidase homologue (S09 family) 
6183.Smp_141520.1	Smp_141520	1044	Uncharacterized protein
6183.Smp_141530.1	Smp_141530	673	Anoctamin 
6183.Smp_141540.1	Smp_141540	945	Putative thymidine kinase 
6183.Smp_141550.1	SmVAL24	195	Venom allergen-like (VAL) 24 protein 
6183.Smp_141560.1	SmVAL25	195	Venom allergen-like (VAL) 25 protein 
6183.Smp_141570.1	Smp_141570	487	Twik family of potassium channels-related ; Belongs to the two pore domain potassium channel (TC 1.A.1.8) family
6183.Smp_141580.1	Smp_141580	1089	Protein kinase 
6183.Smp_141590.2	Formin-like	1074	Formin-like 
6183.Smp_141600.1	Smp_141600	1402	Uncharacterized protein
6183.Smp_141610.1	Smp_141610	347	Cathepsin B endopeptidase; SmCB2 peptidase (C01 family) ; Belongs to the peptidase C1 family
6183.Smp_141620.1	Smp_141620	144	Uncharacterized protein
6183.Smp_141630.1	Smp_141630.1	1109	Splicing factor 3b, subunit 1-related 
6183.Smp_141640.1	Smp_141640	52	Calpain-2 (C02 family) 
6183.Smp_141650.1	Smp_141650	314	Uncharacterized protein
6183.Smp_141660.1	Smp_141660	491	Putative high voltage-activated calcium channel beta subunit 2 
6183.Smp_141670.1	Smp_141670	1114	Uncharacterized protein
6183.Smp_141680.1	Smp_141680	659	Uncharacterized protein
6183.Smp_141690.1	Smp_141690	126	Uncharacterized protein
6183.Smp_141700.1	Smp_117320	668	Uncharacterized protein
6183.Smp_141710.1	Smp_141710	1463	Uncharacterized protein
6183.Smp_141720.1	tsc10	479	3-keto-dihydrosphingosine reductase 
6183.Smp_141740.1	Smp_141740	894	Putative cadherin 
6183.Smp_141760.1	Smp_141760	159	Uncharacterized protein
6183.Smp_141770.1	Smp_141770	625	Putative glycerol kinase 
6183.Smp_141790.1	Smp_141790	855	Membrane associated guanylate kinase inverted related 
6183.Smp_141800.1	Smp_141800	199	Putative oxalate:formate antiporter 
6183.Smp_141810.1	Smp_141810	1625	Uncharacterized protein
6183.Smp_141820.3	Smp_141820.3	248	Uncharacterized protein
6183.Smp_141830.1	Smp_141830	856	Transcriptional enhancer factor (Tef) related 
6183.Smp_141840.1	Smp_141840	209	Uncharacterized protein
6183.Smp_141850.1	Smp_141850	910	Uncharacterized protein
6183.Smp_141860.1	Smp_141860	4615	Putative heat containing protein 
6183.Smp_141870.1	Smp_141870	281	Uncharacterized protein
6183.Smp_141880.1	Smp_141880	492	Putative neuropeptide receptor ; Belongs to the G-protein coupled receptor 1 family
6183.Smp_141890.1	Smp_141890	862	Kelch-like protein 
6183.Smp_141900.1	Smp_141900	2178	Uncharacterized protein
6183.Smp_141910.1	Smp_141910	639	Putative sh3 and multiple ankyrin repeat domains protein 1,2 (Shank1,2) 
6183.Smp_141920.1	Smp_141920	572	Uncharacterized protein
6183.Smp_141930.1	Smp_141930	116	Uncharacterized protein
6183.Smp_141940.1	Smp_141940	183	Uncharacterized protein
6183.Smp_141950.1	Smp_141950	427	Serine/threonine-protein phosphatase 
6183.Smp_141960.1	Smp_141960	252	Putative ankyrin repeat domain protein 
6183.Smp_141970.1	Smp_141970	308	Deoxyribose-phosphate aldolase 
6183.Smp_141980.1	Smp_036830	1022	Phosphodiesterase; Putative camp-specific 3,5-cyclic phosphodiesterase 
6183.Smp_141990.1	Smp_141990	68	Uncharacterized protein
6183.Smp_142000.1	Smp_142000.1	20	Uncharacterized protein
6183.Smp_142010.2	Smp_142010.2	520	Methionine aminopeptidase; Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
6183.Smp_142020.1	Smp_142020	87	Uncharacterized protein
6183.Smp_142030.1	Smp_142030	193	AMP-activated protein kinase, gamma regulatory subunit, putative 
6183.Smp_142040.1	Smp_142040	659	Serine-rich repeat protein , putative 
6183.Smp_142050.1	Smp_142050	390	Mitogen-activated protein kinase; Extracellular signal-regulated kinase 1/2,putative 
6183.Smp_142060.1	Smp_142060	276	Uncharacterized protein
6183.Smp_142070.1	Smp_142070	256	Uncharacterized protein
6183.Smp_142080.1	Smp_142080	142	Uncharacterized protein
6183.Smp_142090.1	Smp_142090	906	Uncharacterized protein
6183.Smp_142100.1	Smp_142100	2171	Uncharacterized protein
6183.Smp_142110.1	Smp_142110	423	Uncharacterized protein
6183.Smp_142120.1	Smp_142120	395	Achaete-scute transcription factor-related 
6183.Smp_142130.1	Smp_142130	1299	Uncharacterized protein
6183.Smp_142140.1	Smp_142140.1	717	annotation not available
6183.Smp_142150.1	Smp_142150	567	Uncharacterized protein
6183.Smp_142160.1	Smp_142160	83	Uncharacterized protein
6183.Smp_142170.1	Smp_142170	562	Putative trithorax protein ash2 
6183.Smp_142180.1	Smp_142180	516	Putative poly(ADP-ribose) glycohydrolase 
6183.Smp_142190.1	Smp_142190	328	Carboxypeptidase N (M14 family) 
6183.Smp_142200.1	Smp_142200	56	Uncharacterized protein
6183.Smp_142210.1	Smp_142210	1123	Vacuolar membrane protein related 
6183.Smp_142220.1	Smp_142220	702	Apobec-1 complementation factor, putative 
6183.Smp_142230.1	Smp_142230	328	Tetraspanin; Cd63 antigen-like 
6183.Smp_142240.1	Smp_142240	165	Uncharacterized protein
6183.Smp_142250.1	Smp_142250	995	Suppressor of cytokine signaling, putative 
6183.Smp_142260.1	Smp_142260	114	Uncharacterized protein
6183.Smp_142270.1	Smp_142270	667	Basic helix-loop-helix transcription factor,putative 
6183.Smp_142280.1	Smp_142280	353	Uncharacterized protein
6183.Smp_142290.1	Smp_119840	674	Hyperpolarization activated cyclic nucleotide-gated potassium channel, putative 
6183.Smp_142300.1	Smp_142300	584	Putative polypyrimidine tract binding protein 
6183.Smp_142320.1	Smp_142320	1867	Uncharacterized protein
6183.Smp_142340.1	Smp_142340	290	Uncharacterized protein
6183.Smp_142350.1	Smp_142350	122	Uncharacterized protein
6183.Smp_142360.1	Smp_142360.1	203	Phosphatidylinositol-4-phosphate 5-kinase type II, putative 
6183.Smp_142380.1	Smp_142380	1522	Uncharacterized protein
6183.Smp_142390.1	Smp_118400	264	Innexin; Structural component of the gap junctions
6183.Smp_142400.2	Smp_142400.2	441	Putative bhlhzip transcription factor bigmax 
6183.Smp_142410.1	Smp_142410	665	Uncharacterized protein
6183.Smp_142420.1	Smp_142420	79	Uncharacterized protein
6183.Smp_142430.1	Smp_142430	470	Paired box protein pax-1-related 
6183.Smp_142440.1	Smp_142440	473	Putative paired box protein pax-3 and 
6183.Smp_142450.1	Smp_142450	183	Putative rap1 and 
6183.Smp_142460.1	Smp_142460	588	Uncharacterized protein
6183.Smp_142470.1	Smp_142470	165	Uncharacterized protein
6183.Smp_142490.1	Smp_142490	337	Epididymal membrane protein E9-related 
6183.Smp_142500.1	Smp_142500.1	31	Putative anosmin 
6183.Smp_142510.2	Smp_142510.2	1577	Putative ribonuclease III 
6183.Smp_142520.1	Smp_142520	291	Palmitoyltransferase; Putative zinc finger protein ; Belongs to the DHHC palmitoyltransferase family
6183.Smp_142540.1	Smp_142540	63	Uncharacterized protein
6183.Smp_142550.1	Smp_142550	2192	Nuclear pore membrane glycoprotein gp210-related 
6183.Smp_142560.1	Smp_142560	409	Putative insulinprotein enhancer protein isl 
6183.Smp_142570.1	Smp_142570	195	Uncharacterized protein
6183.Smp_142580.1	Smp_142580	152	Putative insulinprotein enhancer protein isl 
6183.Smp_142590.1	Smp_142590	76	Uncharacterized protein
6183.Smp_142600.1	Smp_142600	1427	Putative capicua protein 
6183.Smp_142610.1	Smp_142610	1444	Serine/threonine kinase 
6183.Smp_142620.1	Smp_142620	1560	Guanylate cyclase 
6183.Smp_142630.1	Smp_142630	2132	Putative talin 2 
6183.Smp_142640.1	Smp_142640	242	NAD(P)H-hydrate epimerase; Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S- specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX; Belongs to the NnrE/AIBP family
6183.Smp_142650.2	Smp_092450	1214	Uncharacterized protein
6183.Smp_142670.1	Smp_142670	228	Uncharacterized protein
6183.Smp_142680.1	Smp_142680	262	Long-chain-fatty-acid--CoA ligase 
6183.Smp_142690.1	Smp_142690	753	NAChR subunit (ShAR1-beta2-like) 
6183.Smp_142700.1	Smp_142700	347	Putative nachr subunit 
6183.Smp_142710.1	Smp_118260	4023	Belongs to the PI3/PI4-kinase family. 
6183.Smp_142720.1	Smp_142720	53	Uncharacterized protein
6183.Smp_142730.1	Smp_142730	434	Putative rho gtpase activating protein 
6183.Smp_142740.1	Smp_142740	537	Uncharacterized protein
6183.Smp_142750.1	Smp_142750	86	Uncharacterized protein
6183.Smp_142760.1	Smp_142760	192	Uncharacterized protein
6183.Smp_142770.1	Smp_142770	869	Putative importin-beta 2 
6183.Smp_142780.1	Smp_142780	528	Putative retinoblastoma binding protein 
6183.Smp_142790.1	Smp_142790	382	Putative gtp-binding protein alpha subunit 
6183.Smp_142800.1	Smp_142800	42	Uncharacterized protein
6183.Smp_142810.1	Smp_142810	627	Putative alpha-amylase 
6183.Smp_142820.1	Smp_142820	656	Uncharacterized protein
6183.Smp_142850.1	Smp_142850	377	Putative smap1 
6183.Smp_142860.1	Smp_142860	139	Putative alpha(1,3)fucosyltransferase 
6183.Smp_142870.1	Smp_142870	232	Uncharacterized protein
6183.Smp_142880.1	Smp_142880	553	Uncharacterized protein
6183.Smp_142890.1	Smp_142890	1175	Putative hect E3 ubiquitin ligase 
6183.Smp_142900.1	Smp_178590	555	Uncharacterized protein
6183.Smp_142910.1	Smp_142910	715	Putative coatomer alpha subunit 
6183.Smp_142920.1	Smp_142920	550	Putative coatomer alpha subunit 
6183.Smp_142930.1	Smp_142930	339	Mitochondrial carrier protein-related ; Belongs to the mitochondrial carrier (TC 2.A.29) family
6183.Smp_142940.1	Smp_142940	883	Putative paired box protein pax-6 
6183.Smp_142950.1	Smp_142950	814	Uncharacterized protein
6183.Smp_142960.1	Smp_142960	781	Belongs to the FPP/GGPP synthase family. 
6183.Smp_142970.1	Smp_142970	298	Putative palmitoyl-protein thioesterase 
6183.Smp_142980.1	Smp_142980	160	Putative palmitoyl-protein thioesterase 
6183.Smp_142990.1	Smp_142990	830	Serine/threonine kinase 
6183.Smp_143000.1	Smp_143000	98	Uncharacterized protein
6183.Smp_143010.1	Smp_143010	922	Putative myosin II heavy chain 
6183.Smp_143020.1	Smp_143020	709	Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family
6183.Smp_143030.1	Smp_143030	542	Putative cullin ; Belongs to the cullin family
6183.Smp_143040.1	Smp_143040	168	Putative cullin 
6183.Smp_143050.1	Smp_143050	690	Scaffold attachment factor B-related 
6183.Smp_143060.1	Smp_143060	142	AP complex subunit sigma; Putative clathrin coat assembly protein AP17 ; Belongs to the adaptor complexes small subunit family
6183.Smp_143070.1	Smp_143070	450	Kelch-related proteins 
6183.Smp_143080.1	Smp_143080	513	Uncharacterized protein
6183.Smp_143090.1	Smp_143090	275	Uncharacterized protein
6183.Smp_143110.1	Smp_143110	1266	Uncharacterized protein
6183.Smp_143130.1	Smp_143130.1	245	Putative four and A half lim domains 
6183.Smp_143140.1	Smp_143140	325	Putative eukaryotic translation elongation factor 
6183.Smp_143150.1	Smp_143150	544	Putative eukaryotic translation elongation factor 
6183.Smp_143160.1	Smp_143160	64	Uncharacterized protein
6183.Smp_143170.1	Smp_143170	737	alpha-1,2-Mannosidase; Mannosyl-oligosaccharidealpha-1,2-mannosidase-r el ated ; Belongs to the glycosyl hydrolase 47 family
6183.Smp_143180.1	Smp_143180	967	Putative zinc finger protein 
6183.Smp_143190.1	Smp_143190	1280	Uncharacterized protein
6183.Smp_143210.1	Smp_143210	104	Uncharacterized protein
6183.Smp_143220.1	Smp_143220	300	Uncharacterized protein
6183.Smp_143240.1	Smp_143240	1453	Uncharacterized protein
6183.Smp_143260.1	Smp_143260	1131	Uncharacterized protein
6183.Smp_143270.1	Smp_143270	90	Uncharacterized protein
6183.Smp_143280.1	Smp_143280	241	Uncharacterized protein
6183.Smp_143290.1	Smp_143290	151	Uncharacterized protein
6183.Smp_143300.1	Smp_143300	1159	Notch 
6183.Smp_143310.1	Smp_143310	545	Uncharacterized protein
6183.Smp_143320.1	Smp_143320	871	Zinc finger protein, putative 
6183.Smp_143340.1	Smp_143340.1	1177	Methionine sulfoxide reductase,putative 
6183.Smp_143350.1	Smp_143350	512	Elongin A-related 
6183.Smp_143360.1	Smp_143360	492	Uncharacterized protein
6183.Smp_143370.1	Smp_191230	1094	Protein phosphatase 1 regulatory subunit 12b (Myosin phosphatase targeting subunit 2), putative 
6183.Smp_143380.1	Smp_143380	706	DNA mismatch repair protein PMS2, putative 
6183.Smp_143390.1	Smp_143390	349	Guanyl-nucleotide exchange factor, putative 
6183.Smp_143400.1	Smp_143400	2957	Protein kinase 
6183.Smp_143410.1	Smp_143410	1020	Uncharacterized protein
6183.Smp_143420.1	Smp_143420	623	Actin bundling/missing in metastasis-related 
6183.Smp_143430.1	Smp_143430	1207	Alpha-mannosidase; Mannosidase alpha class 2a, putative 
6183.Smp_143440.1	Smp_143440	489	Uncharacterized protein
6183.Smp_143450.1	Smp_143450	196	Uncharacterized protein
6183.Smp_143460.1	Smp_143460	471	Uncharacterized protein
6183.Smp_143470.2	Smp_143470.2	2340	Putative spectrin beta chain, brain 3 (Spectrin, non-erythroid beta chain 3) (Beta-IV spectrin) ; Belongs to the spectrin family
6183.Smp_143480.1	Smp_143480	563	Uncharacterized protein
6183.Smp_143490.1	Smp_143490	750	Putative dna replication licensing factor MCM5 ; Belongs to the MCM family
6183.Smp_143500.1	Smp_143500	510	Cut-like 1 (Ctl1) 
6183.Smp_143510.1	Smp_143510	1223	Cut-like 1 (Ctl1) 
6183.Smp_143520.1	Smp_143520	206	Uncharacterized protein
6183.Smp_143530.1	Smp_187790	933	Uncharacterized protein
6183.Smp_143540.1	Smp_143540	142	Uncharacterized protein
6183.Smp_143550.1	Smp_143550	304	Uncharacterized protein
6183.Smp_143560.1	Smp_143560	243	Uncharacterized protein
6183.Smp_143570.1	Smp_143570	1994	Uncharacterized protein
6183.Smp_143580.1	Smp_143580	129	Uncharacterized protein
6183.Smp_143590.1	Smp_143590	620	Uncharacterized protein
6183.Smp_143600.1	Smp_143600	1016	Putative normocyte-binding protein 1 
6183.Smp_143610.1	Smp_143610	6545	Uncharacterized protein
6183.Smp_143620.1	Smp_143620	1510	Uncharacterized protein
6183.Smp_143630.1	Smp_143630	214	Uncharacterized protein
6183.Smp_143650.1	Smp_143650	2375	Putative midasin (Midas-containing protein) 
6183.Smp_143660.1	Smp_143660	2491	Mdn1, midasin-related 
6183.Smp_143670.1	Smp_143670	623	Uncharacterized protein
6183.Smp_143680.1	Smp_143680.1	3085	annotation not available
6183.Smp_143690.1	Smp_143690	551	Feline leukemia virus subgroup C receptor-related 
6183.Smp_143700.1	Smp_143700	218	Uncharacterized protein
6183.Smp_143710.1	Smp_143710	284	Uncharacterized protein
6183.Smp_143720.1	Smp_143720	280	Uncharacterized protein
6183.Smp_143730.1	Smp_143730	1393	Putative carboxypeptidase regulatory region-containing 
6183.Smp_143740.1	Smp_143740	364	Uroporphyrinogen decarboxylase ; Belongs to the uroporphyrinogen decarboxylase family
6183.Smp_143750.1	Smp_143750	572	Putative metazoan probable membrane protein 
6183.Smp_143760.1	Smp_143760	1001	DNA repair protein REV1; Deoxycytidyl transferase involved in DNA repair. Transfers a dCMP residue from dCTP to the 3'-end of a DNA primer in a template-dependent reaction. May assist in the first step in the bypass of abasic lesions by the insertion of a nucleotide opposite the lesion. Required for normal induction of mutations by physical and chemical agents
6183.Smp_143770.1	Smp_143770	211	Putative hspc200 
6183.Smp_143780.1	Smp_143780	113	T-complex-associated-testis-expressed 1-related 
6183.Smp_143790.1	Smp_143790	64	Uncharacterized protein
6183.Smp_143800.1	Smp_143800	595	Transporter ; Belongs to the sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family
6183.Smp_143810.1	Smp_143810	444	Uncharacterized protein
6183.Smp_143820.1	Smp_143820	119	Uncharacterized protein
6183.Smp_143830.1	fat1	505	Putative ffa transport protein 
6183.Smp_143840.1	Smp_143840	808	Alpha-1,4 glucan phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
6183.Smp_143860.1	Smp_143860	520	Uncharacterized protein
6183.Smp_143870.1	Smp_143870	118	Uncharacterized protein
6183.Smp_143900.1	Smp_143900	413	Uncharacterized protein
6183.Smp_143910.1	Smp_143910	1619	Uncharacterized protein
6183.Smp_143920.1	Smp_143920	910	Uncharacterized protein
6183.Smp_143930.1	Smp_143930	697	Putative sh3 and multiple ankyrin repeat domains protein 1,2 (Shank1,2) 
6183.Smp_143940.1	Smp_143940	370	Putative dynein light intermediate chain 
6183.Smp_143950.1	Smp_143950	729	Uncharacterized protein
6183.Smp_143960.2	Smp_143960.2	1022	Uncharacterized protein
6183.Smp_143970.1	Smp_143970	713	Kelch-like protein 
6183.Smp_143980.1	Smp_143980	1501	Uncharacterized protein
6183.Smp_143990.1	Smp_143990	85	Uncharacterized protein
6183.Smp_144000.1	Smp_144000	94	Putative cytochrome C oxidase polypeptide vib 
6183.Smp_144010.1	Smp_144010.1	94	Putative cytochrome C oxidase polypeptide vib 
6183.Smp_144020.1	Smp_144020	718	Uncharacterized protein
6183.Smp_144030.1	Smp_177410	506	Phosphatidate cytidylyltransferase ; Belongs to the CDS family
6183.Smp_144050.1	Smp_144050	2348	Receptor tyrosine phosphatase type r2a,putative 
6183.Smp_144070.1	Smp_144060	3164	Putative gastric mucin 
6183.Smp_144080.1	Smp_144080	1627	Putative proprotein convertase subtilisin/kexin type 5  (Proprotein convertase PC5) (Subtilisin/kexin-like protease PC5) (PC6) (Subtilisin-like proprotein convertase 6) (SPC6) 
6183.Smp_144090.2	Smp_187620	492	Putative hyperparathyroidism homolog 
6183.Smp_144100.1	Smp_144100	59	Uncharacterized protein
6183.Smp_144110.1	Smp_144110	583	Putative fmrfamide-gated Na+ channel ; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
6183.Smp_144120.1	Smp_144120	430	Putative lim/homeobox protein Awh (Protein arrowhead) 
6183.Smp_144130.1	Smp_144130	417	Septate junction protein 
6183.Smp_144140.1	Smp_144140	649	Putative zinc/iron transporter 
6183.Smp_144150.1	Smp_144150	281	Uncharacterized protein
6183.Smp_144160.1	Smp_144160	1577	Uncharacterized protein
6183.Smp_144170.1	Smp_144170	633	RAR-like nuclear receptor 
6183.Smp_144180.1	Smp_144180	3002	Histone-lysine N-methyltransferase; Putative mixed-lineage leukemia protein, mll 
6183.Smp_144190.1	Smp_144190	673	Uncharacterized protein
6183.Smp_144200.1	Smp_144200	127	Uncharacterized protein
6183.Smp_144210.1	Smp_144210	737	Putative death associated protein kinase 
6183.Smp_144220.1	Smp_144220	384	Glycine amidinotransferase 
6183.Smp_144240.1	Smp_144240	512	Uncharacterized protein
6183.Smp_144250.1	Smp_144250	159	Uncharacterized protein
6183.Smp_144260.1	Smp_144260	382	Putative alpha-mannoside beta-1,6-n-acetylglucosaminyltransferase 
6183.Smp_144270.1	Smp_144270.1	539	annotation not available
6183.Smp_144280.1	Smp_144280	1131	Putative tensin 
6183.Smp_144290.1	Smp_144290	691	Uncharacterized protein
6183.Smp_144300.1	Smp_144300	375	Putative tns1 protein 
6183.Smp_144310.1	Smp_144310	825	Voltage-gated potassium channel, KCNQ ; Belongs to the potassium channel family
6183.Smp_144330.1	Smp_144330	120	Uncharacterized protein
6183.Smp_144350.1	Smp_144350	248	Uncharacterized protein
6183.Smp_144360.1	Smp_138460	326	Myelin proteolipid-related 
6183.Smp_144370.1	Smp_144370	372	Putative leucine rich repeat-containing 
6183.Smp_144380.1	Smp_144380	272	Msx family homeobox protein 
6183.Smp_144390.1	Smp_144390	805	Receptor protein serine/threonine kinase; Putative tgf-beta receptor 
6183.Smp_144430.1	Smp_144430	1039	Formin-like 
6183.Smp_144440.1	Smp_144440	365	Replication A protein , putative 
6183.Smp_144450.1	Smp_144450	771	Apobec-1 complementation factor-related 
6183.Smp_144460.1	Smp_144460.1	37	Ubiquitin fusion degradaton protein, putative 
6183.Smp_144470.1	Smp_144470	669	Uncharacterized protein
6183.Smp_144490.1	Smp_144490	1275	RNA cytidine acetyltransferase; RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires a tRNA-binding adapter protein for full tRNA acetyltransferase activity but not for 18S rRNA acetylation
6183.Smp_144500.1	Smp_144500	116	Uncharacterized protein
6183.Smp_144510.1	Smp_144510	743	Uncharacterized protein
6183.Smp_144520.1	Smp_144520	2019	Uncharacterized protein
6183.Smp_144530.1	Smp_144530	51	Uncharacterized protein
6183.Smp_144540.1	Smp_144540	627	Putative c2h2 zinc finger protein 
6183.Smp_144550.1	Smp_144550	929	Chromobox protein-related (Chromobox 1) (Heterochromatin 1) 
6183.Smp_144560.1	Smp_144560	366	Putative nucleobindin 
6183.Smp_144570.1	Smp_144570	504	Serine hydroxymethyltransferase; Interconversion of serine and glycine; Belongs to the SHMT family
6183.Smp_144590.1	Smp_144590	1760	Putative synaptic ras gtpase activating protein, syngap 
